gene_id	gene_name	transcript_id	sample	TPM	treat	batch	time_point
ENSMUSG00000000693	Loxl3	ENSMUST00000000707	LM411_R1_t0	0	LM411	R1	t0
ENSMUSG00000000693	Loxl3	ENSMUST00000101257	LM411_R1_t0	0.13	LM411	R1	t0
ENSMUSG00000000826	Dnajc5	ENSMUST00000072334	LM411_R1_t0	17.68	LM411	R1	t0
ENSMUSG00000000826	Dnajc5	ENSMUST00000108797	LM411_R1_t0	10.28	LM411	R1	t0
ENSMUSG00000000826	Dnajc5	ENSMUST00000116365	LM411_R1_t0	39.96	LM411	R1	t0
ENSMUSG00000001700	Gramd3	ENSMUST00000070166	LM411_R1_t0	50	LM411	R1	t0
ENSMUSG00000001700	Gramd3	ENSMUST00000237422	LM411_R1_t0	13.22	LM411	R1	t0
ENSMUSG00000001700	Gramd3	ENSMUST00000237716	LM411_R1_t0	6.3	LM411	R1	t0
ENSMUSG00000002279	Lmf1	ENSMUST00000116641	LM411_R1_t0	9.15	LM411	R1	t0
ENSMUSG00000002279	Lmf1	ENSMUST00000141606	LM411_R1_t0	0.74	LM411	R1	t0
ENSMUSG00000002396	Ocel1	ENSMUST00000002469	LM411_R1_t0	9.64	LM411	R1	t0
ENSMUSG00000002396	Ocel1	ENSMUST00000110051	LM411_R1_t0	6.57	LM411	R1	t0
ENSMUSG00000002396	Ocel1	ENSMUST00000110052	LM411_R1_t0	3.74	LM411	R1	t0
ENSMUSG00000002578	Ikzf4	ENSMUST00000133342	LM411_R1_t0	2.42	LM411	R1	t0
ENSMUSG00000002578	Ikzf4	ENSMUST00000223162	LM411_R1_t0	0.26	LM411	R1	t0
ENSMUSG00000002578	Ikzf4	ENSMUST00000238610	LM411_R1_t0	0	LM411	R1	t0
ENSMUSG00000002625	Akap8l	ENSMUST00000050214	LM411_R1_t0	3.19	LM411	R1	t0
ENSMUSG00000002625	Akap8l	ENSMUST00000236039	LM411_R1_t0	39.44	LM411	R1	t0
ENSMUSG00000002625	Akap8l	ENSMUST00000236105	LM411_R1_t0	17.11	LM411	R1	t0
ENSMUSG00000002625	Akap8l	ENSMUST00000236503	LM411_R1_t0	30.61	LM411	R1	t0
ENSMUSG00000003068	Stk11	ENSMUST00000003152	LM411_R1_t0	57.47	LM411	R1	t0
ENSMUSG00000003068	Stk11	ENSMUST00000144883	LM411_R1_t0	16.35	LM411	R1	t0
ENSMUSG00000003531	Dgcr6	ENSMUST00000066027	LM411_R1_t0	0.71	LM411	R1	t0
ENSMUSG00000003531	Dgcr6	ENSMUST00000151266	LM411_R1_t0	4.77	LM411	R1	t0
ENSMUSG00000003531	Dgcr6	ENSMUST00000155387	LM411_R1_t0	0.2	LM411	R1	t0
ENSMUSG00000003545	Fosb	ENSMUST00000003640	LM411_R1_t0	1.14	LM411	R1	t0
ENSMUSG00000003545	Fosb	ENSMUST00000208230	LM411_R1_t0	4.45	LM411	R1	t0
ENSMUSG00000003545	Fosb	ENSMUST00000208326	LM411_R1_t0	6.21	LM411	R1	t0
ENSMUSG00000003545	Fosb	ENSMUST00000208446	LM411_R1_t0	0.19	LM411	R1	t0
ENSMUSG00000003545	Fosb	ENSMUST00000208505	LM411_R1_t0	0.25	LM411	R1	t0
ENSMUSG00000005267	Zfp287	ENSMUST00000005399	LM411_R1_t0	2.9	LM411	R1	t0
ENSMUSG00000005267	Zfp287	ENSMUST00000128370	LM411_R1_t0	0.8	LM411	R1	t0
ENSMUSG00000005267	Zfp287	ENSMUST00000149228	LM411_R1_t0	0.06	LM411	R1	t0
ENSMUSG00000005267	Zfp287	ENSMUST00000150336	LM411_R1_t0	6.89	LM411	R1	t0
ENSMUSG00000005267	Zfp287	ENSMUST00000185656	LM411_R1_t0	5.39	LM411	R1	t0
ENSMUSG00000005442	Cic	ENSMUST00000163320	LM411_R1_t0	17.96	LM411	R1	t0
ENSMUSG00000005442	Cic	ENSMUST00000167379	LM411_R1_t0	15.86	LM411	R1	t0
ENSMUSG00000005442	Cic	ENSMUST00000169266	LM411_R1_t0	49.28	LM411	R1	t0
ENSMUSG00000006307	Kmt2b	ENSMUST00000006470	LM411_R1_t0	43.4	LM411	R1	t0
ENSMUSG00000006307	Kmt2b	ENSMUST00000131002	LM411_R1_t0	9.77	LM411	R1	t0
ENSMUSG00000006333	Rps9	ENSMUST00000006496	LM411_R1_t0	4638.77	LM411	R1	t0
ENSMUSG00000006333	Rps9	ENSMUST00000146927	LM411_R1_t0	40.73	LM411	R1	t0
ENSMUSG00000006800	Sulf2	ENSMUST00000088086	LM411_R1_t0	0	LM411	R1	t0
ENSMUSG00000006800	Sulf2	ENSMUST00000109249	LM411_R1_t0	0.05	LM411	R1	t0
ENSMUSG00000006800	Sulf2	ENSMUST00000146497	LM411_R1_t0	0	LM411	R1	t0
ENSMUSG00000007659	Bcl2l1	ENSMUST00000007803	LM411_R1_t0	7.69	LM411	R1	t0
ENSMUSG00000007659	Bcl2l1	ENSMUST00000109820	LM411_R1_t0	1.75	LM411	R1	t0
ENSMUSG00000009687	Fxyd5	ENSMUST00000009831	LM411_R1_t0	123.38	LM411	R1	t0
ENSMUSG00000009687	Fxyd5	ENSMUST00000159924	LM411_R1_t0	186.28	LM411	R1	t0
ENSMUSG00000009687	Fxyd5	ENSMUST00000161684	LM411_R1_t0	97.83	LM411	R1	t0
ENSMUSG00000009687	Fxyd5	ENSMUST00000161805	LM411_R1_t0	3.22	LM411	R1	t0
